filepaths,labels,data set
Database\train\circle\circle-0.jpg,circle,train
Database\train\circle\circle-1.jpg,circle,train
Database\train\circle\circle-10.jpg,circle,train
Database\train\circle\circle-100.jpg,circle,train
Database\train\circle\circle-1000.jpg,circle,train
Database\train\circle\circle-1001.jpg,circle,train
Database\train\circle\circle-1002.jpg,circle,train
Database\train\circle\circle-1003.jpg,circle,train
Database\train\circle\circle-1004.jpg,circle,train
Database\train\circle\circle-1005.jpg,circle,train
Database\train\circle\circle-1006.jpg,circle,train
Database\train\circle\circle-1007.jpg,circle,train
Database\train\circle\circle-1008.jpg,circle,train
Database\train\circle\circle-1009.jpg,circle,train
Database\train\circle\circle-101.jpg,circle,train
Database\train\circle\circle-1010.jpg,circle,train
Database\train\circle\circle-1011.jpg,circle,train
Database\train\circle\circle-1012.jpg,circle,train
Database\train\circle\circle-1013.jpg,circle,train
Database\train\circle\circle-1014.jpg,circle,train
Database\train\circle\circle-1015.jpg,circle,train
Database\train\circle\circle-1016.jpg,circle,train
Database\train\circle\circle-1017.jpg,circle,train
Database\train\circle\circle-1018.jpg,circle,train
Database\train\circle\circle-1019.jpg,circle,train
Database\train\circle\circle-102.jpg,circle,train
Database\train\circle\circle-1020.jpg,circle,train
Database\train\circle\circle-1021.jpg,circle,train
Database\train\circle\circle-1022.jpg,circle,train
Database\train\circle\circle-1023.jpg,circle,train
Database\train\circle\circle-1024.jpg,circle,train
Database\train\circle\circle-1025.jpg,circle,train
Database\train\circle\circle-1026.jpg,circle,train
Database\train\circle\circle-1027.jpg,circle,train
Database\train\circle\circle-1028.jpg,circle,train
Database\train\circle\circle-1029.jpg,circle,train
Database\train\circle\circle-103.jpg,circle,train
Database\train\circle\circle-1030.jpg,circle,train
Database\train\circle\circle-1031.jpg,circle,train
Database\train\circle\circle-1032.jpg,circle,train
Database\train\circle\circle-1033.jpg,circle,train
Database\train\circle\circle-1034.jpg,circle,train
Database\train\circle\circle-1035.jpg,circle,train
Database\train\circle\circle-1036.jpg,circle,train
Database\train\circle\circle-1037.jpg,circle,train
Database\train\circle\circle-1038.jpg,circle,train
Database\train\circle\circle-1039.jpg,circle,train
Database\train\circle\circle-104.jpg,circle,train
Database\train\circle\circle-1040.jpg,circle,train
Database\train\circle\circle-1041.jpg,circle,train
Database\train\circle\circle-1042.jpg,circle,train
Database\train\circle\circle-1043.jpg,circle,train
Database\train\circle\circle-1044.jpg,circle,train
Database\train\circle\circle-1045.jpg,circle,train
Database\train\circle\circle-1046.jpg,circle,train
Database\train\circle\circle-1047.jpg,circle,train
Database\train\circle\circle-1048.jpg,circle,train
Database\train\circle\circle-1049.jpg,circle,train
Database\train\circle\circle-105.jpg,circle,train
Database\train\circle\circle-1050.jpg,circle,train
Database\train\circle\circle-1051.jpg,circle,train
Database\train\circle\circle-1052.jpg,circle,train
Database\train\circle\circle-1053.jpg,circle,train
Database\train\circle\circle-1054.jpg,circle,train
Database\train\circle\circle-1055.jpg,circle,train
Database\train\circle\circle-1056.jpg,circle,train
Database\train\circle\circle-1057.jpg,circle,train
Database\train\circle\circle-1058.jpg,circle,train
Database\train\circle\circle-1059.jpg,circle,train
Database\train\circle\circle-106.jpg,circle,train
Database\train\circle\circle-1060.jpg,circle,train
Database\train\circle\circle-1061.jpg,circle,train
Database\train\circle\circle-1062.jpg,circle,train
Database\train\circle\circle-1063.jpg,circle,train
Database\train\circle\circle-1064.jpg,circle,train
Database\train\circle\circle-1065.jpg,circle,train
Database\train\circle\circle-1066.jpg,circle,train
Database\train\circle\circle-1067.jpg,circle,train
Database\train\circle\circle-1068.jpg,circle,train
Database\train\circle\circle-1069.jpg,circle,train
Database\train\circle\circle-107.jpg,circle,train
Database\train\circle\circle-1070.jpg,circle,train
Database\train\circle\circle-1071.jpg,circle,train
Database\train\circle\circle-1072.jpg,circle,train
Database\train\circle\circle-1073.jpg,circle,train
Database\train\circle\circle-1074.jpg,circle,train
Database\train\circle\circle-1075.jpg,circle,train
Database\train\circle\circle-1076.jpg,circle,train
Database\train\circle\circle-1077.jpg,circle,train
Database\train\circle\circle-1078.jpg,circle,train
Database\train\circle\circle-1079.jpg,circle,train
Database\train\circle\circle-108.jpg,circle,train
Database\train\circle\circle-1080.jpg,circle,train
Database\train\circle\circle-1081.jpg,circle,train
Database\train\circle\circle-1082.jpg,circle,train
Database\train\circle\circle-1083.jpg,circle,train
Database\train\circle\circle-1084.jpg,circle,train
Database\train\circle\circle-1085.jpg,circle,train
Database\train\circle\circle-1086.jpg,circle,train
Database\train\circle\circle-1087.jpg,circle,train
Database\train\circle\circle-1088.jpg,circle,train
Database\train\circle\circle-1089.jpg,circle,train
Database\train\circle\circle-109.jpg,circle,train
Database\train\circle\circle-1090.jpg,circle,train
Database\train\circle\circle-1091.jpg,circle,train
Database\train\circle\circle-1092.jpg,circle,train
Database\train\circle\circle-1093.jpg,circle,train
Database\train\circle\circle-1094.jpg,circle,train
Database\train\circle\circle-1095.jpg,circle,train
Database\train\circle\circle-1096.jpg,circle,train
Database\train\circle\circle-1097.jpg,circle,train
Database\train\circle\circle-1098.jpg,circle,train
Database\train\circle\circle-1099.jpg,circle,train
Database\train\circle\circle-11.jpg,circle,train
Database\train\circle\circle-110.jpg,circle,train
Database\train\circle\circle-1100.jpg,circle,train
Database\train\circle\circle-1101.jpg,circle,train
Database\train\circle\circle-1102.jpg,circle,train
Database\train\circle\circle-1103.jpg,circle,train
Database\train\circle\circle-1104.jpg,circle,train
Database\train\circle\circle-1105.jpg,circle,train
Database\train\circle\circle-1106.jpg,circle,train
Database\train\circle\circle-1107.jpg,circle,train
Database\train\circle\circle-1108.jpg,circle,train
Database\train\circle\circle-1109.jpg,circle,train
Database\train\circle\circle-111.jpg,circle,train
Database\train\circle\circle-1110.jpg,circle,train
Database\train\circle\circle-1111.jpg,circle,train
Database\train\circle\circle-1112.jpg,circle,train
Database\train\circle\circle-1113.jpg,circle,train
Database\train\circle\circle-1114.jpg,circle,train
Database\train\circle\circle-1115.jpg,circle,train
Database\train\circle\circle-1116.jpg,circle,train
Database\train\circle\circle-1117.jpg,circle,train
Database\train\circle\circle-1118.jpg,circle,train
Database\train\circle\circle-1119.jpg,circle,train
Database\train\circle\circle-112.jpg,circle,train
Database\train\circle\circle-1120.jpg,circle,train
Database\train\circle\circle-1121.jpg,circle,train
Database\train\circle\circle-1122.jpg,circle,train
Database\train\circle\circle-1123.jpg,circle,train
Database\train\circle\circle-1124.jpg,circle,train
Database\train\circle\circle-1125.jpg,circle,train
Database\train\circle\circle-1126.jpg,circle,train
Database\train\circle\circle-1127.jpg,circle,train
Database\train\circle\circle-1128.jpg,circle,train
Database\train\circle\circle-1129.jpg,circle,train
Database\train\circle\circle-113.jpg,circle,train
Database\train\circle\circle-1130.jpg,circle,train
Database\train\circle\circle-1131.jpg,circle,train
Database\train\circle\circle-1132.jpg,circle,train
Database\train\circle\circle-1133.jpg,circle,train
Database\train\circle\circle-1134.jpg,circle,train
Database\train\circle\circle-1135.jpg,circle,train
Database\train\circle\circle-1136.jpg,circle,train
Database\train\circle\circle-1137.jpg,circle,train
Database\train\circle\circle-1138.jpg,circle,train
Database\train\circle\circle-1139.jpg,circle,train
Database\train\circle\circle-114.jpg,circle,train
Database\train\circle\circle-1140.jpg,circle,train
Database\train\circle\circle-1141.jpg,circle,train
Database\train\circle\circle-1142.jpg,circle,train
Database\train\circle\circle-1143.jpg,circle,train
Database\train\circle\circle-1144.jpg,circle,train
Database\train\circle\circle-1145.jpg,circle,train
Database\train\circle\circle-1146.jpg,circle,train
Database\train\circle\circle-1147.jpg,circle,train
Database\train\circle\circle-1148.jpg,circle,train
Database\train\circle\circle-1149.jpg,circle,train
Database\train\circle\circle-115.jpg,circle,train
Database\train\circle\circle-1150.jpg,circle,train
Database\train\circle\circle-1151.jpg,circle,train
Database\train\circle\circle-1152.jpg,circle,train
Database\train\circle\circle-1153.jpg,circle,train
Database\train\circle\circle-1154.jpg,circle,train
Database\train\circle\circle-1155.jpg,circle,train
Database\train\circle\circle-1156.jpg,circle,train
Database\train\circle\circle-1157.jpg,circle,train
Database\train\circle\circle-1158.jpg,circle,train
Database\train\circle\circle-1159.jpg,circle,train
Database\train\circle\circle-116.jpg,circle,train
Database\train\circle\circle-1160.jpg,circle,train
Database\train\circle\circle-1161.jpg,circle,train
Database\train\circle\circle-1162.jpg,circle,train
Database\train\circle\circle-1163.jpg,circle,train
Database\train\circle\circle-1164.jpg,circle,train
Database\train\circle\circle-1165.jpg,circle,train
Database\train\circle\circle-1166.jpg,circle,train
Database\train\circle\circle-1167.jpg,circle,train
Database\train\circle\circle-1168.jpg,circle,train
Database\train\circle\circle-1169.jpg,circle,train
Database\train\circle\circle-117.jpg,circle,train
Database\train\circle\circle-1170.jpg,circle,train
Database\train\circle\circle-1171.jpg,circle,train
Database\train\circle\circle-1172.jpg,circle,train
Database\train\circle\circle-1173.jpg,circle,train
Database\train\circle\circle-1174.jpg,circle,train
Database\train\circle\circle-1175.jpg,circle,train
Database\train\circle\circle-1176.jpg,circle,train
Database\train\circle\circle-1177.jpg,circle,train
Database\train\circle\circle-1178.jpg,circle,train
Database\train\circle\circle-1179.jpg,circle,train
Database\train\circle\circle-118.jpg,circle,train
Database\train\circle\circle-1180.jpg,circle,train
Database\train\circle\circle-1181.jpg,circle,train
Database\train\circle\circle-1182.jpg,circle,train
Database\train\circle\circle-1183.jpg,circle,train
Database\train\circle\circle-1184.jpg,circle,train
Database\train\circle\circle-1185.jpg,circle,train
Database\train\circle\circle-1186.jpg,circle,train
Database\train\circle\circle-1187.jpg,circle,train
Database\train\circle\circle-1188.jpg,circle,train
Database\train\circle\circle-1189.jpg,circle,train
Database\train\circle\circle-119.jpg,circle,train
Database\train\circle\circle-1190.jpg,circle,train
Database\train\circle\circle-1191.jpg,circle,train
Database\train\circle\circle-1192.jpg,circle,train
Database\train\circle\circle-1193.jpg,circle,train
Database\train\circle\circle-1194.jpg,circle,train
Database\train\circle\circle-1195.jpg,circle,train
Database\train\circle\circle-1196.jpg,circle,train
Database\train\circle\circle-1197.jpg,circle,train
Database\train\circle\circle-1198.jpg,circle,train
Database\train\circle\circle-1199.jpg,circle,train
Database\train\circle\circle-12.jpg,circle,train
Database\train\circle\circle-120.jpg,circle,train
Database\train\circle\circle-1200.jpg,circle,train
Database\train\circle\circle-1201.jpg,circle,train
Database\train\circle\circle-1202.jpg,circle,train
Database\train\circle\circle-1203.jpg,circle,train
Database\train\circle\circle-1204.jpg,circle,train
Database\train\circle\circle-1205.jpg,circle,train
Database\train\circle\circle-1206.jpg,circle,train
Database\train\circle\circle-1207.jpg,circle,train
Database\train\circle\circle-1208.jpg,circle,train
Database\train\circle\circle-1209.jpg,circle,train
Database\train\circle\circle-121.jpg,circle,train
Database\train\circle\circle-1210.jpg,circle,train
Database\train\circle\circle-1211.jpg,circle,train
Database\train\circle\circle-1212.jpg,circle,train
Database\train\circle\circle-1213.jpg,circle,train
Database\train\circle\circle-1214.jpg,circle,train
Database\train\circle\circle-1215.jpg,circle,train
Database\train\circle\circle-1216.jpg,circle,train
Database\train\circle\circle-1217.jpg,circle,train
Database\train\circle\circle-1218.jpg,circle,train
Database\train\circle\circle-1219.jpg,circle,train
Database\train\circle\circle-122.jpg,circle,train
Database\train\circle\circle-1220.jpg,circle,train
Database\train\circle\circle-1221.jpg,circle,train
Database\train\circle\circle-1222.jpg,circle,train
Database\train\circle\circle-1223.jpg,circle,train
Database\train\circle\circle-1224.jpg,circle,train
Database\train\circle\circle-1225.jpg,circle,train
Database\train\circle\circle-1226.jpg,circle,train
Database\train\circle\circle-1227.jpg,circle,train
Database\train\circle\circle-1228.jpg,circle,train
Database\train\circle\circle-1229.jpg,circle,train
Database\train\circle\circle-123.jpg,circle,train
Database\train\circle\circle-1230.jpg,circle,train
Database\train\circle\circle-1231.jpg,circle,train
Database\train\circle\circle-1232.jpg,circle,train
Database\train\circle\circle-1233.jpg,circle,train
Database\train\circle\circle-1234.jpg,circle,train
Database\train\circle\circle-1235.jpg,circle,train
Database\train\circle\circle-1236.jpg,circle,train
Database\train\circle\circle-1237.jpg,circle,train
Database\train\circle\circle-1238.jpg,circle,train
Database\train\circle\circle-1239.jpg,circle,train
Database\train\circle\circle-124.jpg,circle,train
Database\train\circle\circle-1240.jpg,circle,train
Database\train\circle\circle-1241.jpg,circle,train
Database\train\circle\circle-1242.jpg,circle,train
Database\train\circle\circle-1243.jpg,circle,train
Database\train\circle\circle-1244.jpg,circle,train
Database\train\circle\circle-1245.jpg,circle,train
Database\train\circle\circle-1246.jpg,circle,train
Database\train\circle\circle-1247.jpg,circle,train
Database\train\circle\circle-1248.jpg,circle,train
Database\train\circle\circle-1249.jpg,circle,train
Database\train\circle\circle-125.jpg,circle,train
Database\train\circle\circle-1250.jpg,circle,train
Database\train\circle\circle-1251.jpg,circle,train
Database\train\circle\circle-1252.jpg,circle,train
Database\train\circle\circle-1253.jpg,circle,train
Database\train\circle\circle-1254.jpg,circle,train
Database\train\circle\circle-1255.jpg,circle,train
Database\train\circle\circle-1256.jpg,circle,train
Database\train\circle\circle-1257.jpg,circle,train
Database\train\circle\circle-1258.jpg,circle,train
Database\train\circle\circle-1259.jpg,circle,train
Database\train\circle\circle-126.jpg,circle,train
Database\train\circle\circle-1260.jpg,circle,train
Database\train\circle\circle-1261.jpg,circle,train
Database\train\circle\circle-1262.jpg,circle,train
Database\train\circle\circle-1263.jpg,circle,train
Database\train\circle\circle-1264.jpg,circle,train
Database\train\circle\circle-1265.jpg,circle,train
Database\train\circle\circle-1266.jpg,circle,train
Database\train\circle\circle-1267.jpg,circle,train
Database\train\circle\circle-1268.jpg,circle,train
Database\train\circle\circle-1269.jpg,circle,train
Database\train\circle\circle-127.jpg,circle,train
Database\train\circle\circle-1270.jpg,circle,train
Database\train\circle\circle-1271.jpg,circle,train
Database\train\circle\circle-1272.jpg,circle,train
Database\train\circle\circle-1273.jpg,circle,train
Database\train\circle\circle-1274.jpg,circle,train
Database\train\circle\circle-1275.jpg,circle,train
Database\train\circle\circle-1276.jpg,circle,train
Database\train\circle\circle-1277.jpg,circle,train
Database\train\circle\circle-1278.jpg,circle,train
Database\train\circle\circle-1279.jpg,circle,train
Database\train\circle\circle-128.jpg,circle,train
Database\train\circle\circle-1280.jpg,circle,train
Database\train\circle\circle-1281.jpg,circle,train
Database\train\circle\circle-1282.jpg,circle,train
Database\train\circle\circle-1283.jpg,circle,train
Database\train\circle\circle-1284.jpg,circle,train
Database\train\circle\circle-1285.jpg,circle,train
Database\train\circle\circle-1286.jpg,circle,train
Database\train\circle\circle-1287.jpg,circle,train
Database\train\circle\circle-1288.jpg,circle,train
Database\train\circle\circle-1289.jpg,circle,train
Database\train\circle\circle-129.jpg,circle,train
Database\train\circle\circle-1290.jpg,circle,train
Database\train\circle\circle-1291.jpg,circle,train
Database\train\circle\circle-1292.jpg,circle,train
Database\train\circle\circle-1293.jpg,circle,train
Database\train\circle\circle-1294.jpg,circle,train
Database\train\circle\circle-1295.jpg,circle,train
Database\train\circle\circle-1296.jpg,circle,train
Database\train\circle\circle-1297.jpg,circle,train
Database\train\circle\circle-1298.jpg,circle,train
Database\train\circle\circle-1299.jpg,circle,train
Database\train\circle\circle-13.jpg,circle,train
Database\train\circle\circle-130.jpg,circle,train
Database\train\circle\circle-1300.jpg,circle,train
Database\train\circle\circle-1301.jpg,circle,train
Database\train\circle\circle-1302.jpg,circle,train
Database\train\circle\circle-1303.jpg,circle,train
Database\train\circle\circle-1304.jpg,circle,train
Database\train\circle\circle-1305.jpg,circle,train
Database\train\circle\circle-1306.jpg,circle,train
Database\train\circle\circle-1307.jpg,circle,train
Database\train\circle\circle-1308.jpg,circle,train
Database\train\circle\circle-1309.jpg,circle,train
Database\train\circle\circle-131.jpg,circle,train
Database\train\circle\circle-1310.jpg,circle,train
Database\train\circle\circle-1311.jpg,circle,train
Database\train\circle\circle-1312.jpg,circle,train
Database\train\circle\circle-1313.jpg,circle,train
Database\train\circle\circle-1314.jpg,circle,train
Database\train\circle\circle-1315.jpg,circle,train
Database\train\circle\circle-1316.jpg,circle,train
Database\train\circle\circle-1317.jpg,circle,train
Database\train\circle\circle-1318.jpg,circle,train
Database\train\circle\circle-1319.jpg,circle,train
Database\train\circle\circle-132.jpg,circle,train
Database\train\circle\circle-1320.jpg,circle,train
Database\train\circle\circle-1321.jpg,circle,train
Database\train\circle\circle-1322.jpg,circle,train
Database\train\circle\circle-1323.jpg,circle,train
Database\train\circle\circle-1324.jpg,circle,train
Database\train\circle\circle-1325.jpg,circle,train
Database\train\circle\circle-1326.jpg,circle,train
Database\train\circle\circle-1327.jpg,circle,train
Database\train\circle\circle-1328.jpg,circle,train
Database\train\circle\circle-1329.jpg,circle,train
Database\train\circle\circle-133.jpg,circle,train
Database\train\circle\circle-1330.jpg,circle,train
Database\train\circle\circle-1331.jpg,circle,train
Database\train\circle\circle-1332.jpg,circle,train
Database\train\circle\circle-1333.jpg,circle,train
Database\train\circle\circle-1334.jpg,circle,train
Database\train\circle\circle-1335.jpg,circle,train
Database\train\circle\circle-1336.jpg,circle,train
Database\train\circle\circle-1337.jpg,circle,train
Database\train\circle\circle-1338.jpg,circle,train
Database\train\circle\circle-1339.jpg,circle,train
Database\train\circle\circle-134.jpg,circle,train
Database\train\circle\circle-1340.jpg,circle,train
Database\train\circle\circle-1341.jpg,circle,train
Database\train\circle\circle-1342.jpg,circle,train
Database\train\circle\circle-1343.jpg,circle,train
Database\train\circle\circle-1344.jpg,circle,train
Database\train\circle\circle-1345.jpg,circle,train
Database\train\circle\circle-1346.jpg,circle,train
Database\train\circle\circle-1347.jpg,circle,train
Database\train\circle\circle-1348.jpg,circle,train
Database\train\circle\circle-1349.jpg,circle,train
Database\train\circle\circle-135.jpg,circle,train
Database\train\circle\circle-1350.jpg,circle,train
Database\train\circle\circle-1351.jpg,circle,train
Database\train\circle\circle-1352.jpg,circle,train
Database\train\circle\circle-1353.jpg,circle,train
Database\train\circle\circle-1354.jpg,circle,train
Database\train\circle\circle-1355.jpg,circle,train
Database\train\circle\circle-1356.jpg,circle,train
Database\train\circle\circle-1357.jpg,circle,train
Database\train\circle\circle-1358.jpg,circle,train
Database\train\circle\circle-1359.jpg,circle,train
Database\train\circle\circle-136.jpg,circle,train
Database\train\circle\circle-1360.jpg,circle,train
Database\train\circle\circle-1361.jpg,circle,train
Database\train\circle\circle-1362.jpg,circle,train
Database\train\circle\circle-1363.jpg,circle,train
Database\train\circle\circle-1364.jpg,circle,train
Database\train\circle\circle-1365.jpg,circle,train
Database\train\circle\circle-1366.jpg,circle,train
Database\train\circle\circle-1367.jpg,circle,train
Database\train\circle\circle-1368.jpg,circle,train
Database\train\circle\circle-1369.jpg,circle,train
Database\train\circle\circle-137.jpg,circle,train
Database\train\circle\circle-1370.jpg,circle,train
Database\train\circle\circle-1371.jpg,circle,train
Database\train\circle\circle-1372.jpg,circle,train
Database\train\circle\circle-1373.jpg,circle,train
Database\train\circle\circle-1374.jpg,circle,train
Database\train\circle\circle-1375.jpg,circle,train
Database\train\circle\circle-1376.jpg,circle,train
Database\train\circle\circle-1377.jpg,circle,train
Database\train\circle\circle-1378.jpg,circle,train
Database\train\circle\circle-1379.jpg,circle,train
Database\train\circle\circle-138.jpg,circle,train
Database\train\circle\circle-1380.jpg,circle,train
Database\train\circle\circle-1381.jpg,circle,train
Database\train\circle\circle-1382.jpg,circle,train
Database\train\circle\circle-1383.jpg,circle,train
Database\train\circle\circle-1384.jpg,circle,train
Database\train\circle\circle-1385.jpg,circle,train
Database\train\circle\circle-1386.jpg,circle,train
Database\train\circle\circle-1387.jpg,circle,train
Database\train\circle\circle-1388.jpg,circle,train
Database\train\circle\circle-1389.jpg,circle,train
